date,facility,component_type,component_id,energy_consumption,efficiency_score,utilization,temperature
2025-01-01,Data Center A,Router,R1,109.98,77.3,60.9,23.3
2025-01-01,Data Center A,Router,R2,98.76,79.4,70.2,27.0
2025-01-01,Data Center A,Router,R3,95.14,80.7,25.6,24.7
2025-01-01,Data Center A,Router,R4,72.98,82.1,21.9,19.4
2025-01-01,Data Center A,Router,R5,88.41,70.9,76.7,24.2
2025-01-01,Data Center A,Router,R6,80.48,78.6,24.5,22.5
2025-01-01,Data Center A,Router,R7,93.13,76.5,47.4,24.0
2025-01-01,Data Center A,Router,R8,86.11,76.9,66.3,25.2
2025-01-01,Data Center A,Switch,S1,55.88,72.2,25.7,26.2
2025-01-01,Data Center A,Switch,S2,55.58,77.0,33.1,19.3
2025-01-01,Data Center A,Switch,S3,50.44,87.3,56.1,25.0
2025-01-01,Data Center A,Switch,S4,51.06,84.9,72.0,26.7
2025-01-01,Data Center A,Switch,S5,47.36,80.5,63.0,22.6
2025-01-01,Data Center A,Switch,S6,52.68,87.9,64.2,21.3
2025-01-01,Data Center A,Switch,S7,53.6,87.0,70.6,25.1
2025-01-01,Data Center A,Switch,S8,66.69,98.9,46.3,21.2
2025-01-01,Data Center A,Switch,S9,54.89,80.5,53.2,23.3
2025-01-01,Data Center A,Switch,S10,57.09,78.1,16.5,26.2
2025-01-01,Data Center A,Server,SRV1,126.97,72.5,78.7,26.7
2025-01-01,Data Center A,Server,SRV2,151.62,81.9,86.2,24.5
2025-01-01,Data Center A,Server,SRV3,129.28,73.4,46.3,24.9
2025-01-01,Data Center A,Server,SRV4,301.92,67.9,20.2,22.7
2025-01-01,Data Center A,Server,SRV5,154.31,74.2,54.1,21.2
2025-01-01,Data Center A,Server,SRV6,174.93,65.4,34.2,23.9
2025-01-01,Data Center A,Server,SRV7,146.71,72.8,14.4,25.4
2025-01-01,Data Center A,Server,SRV8,138.88,74.8,93.8,20.5
2025-01-01,Data Center A,Server,SRV9,161.13,69.3,30.2,21.6
2025-01-01,Data Center A,Server,SRV10,174.49,77.9,17.7,30.6
2025-01-01,Data Center A,Server,SRV11,133.8,79.6,13.5,29.1
2025-01-01,Data Center A,Server,SRV12,328.84,78.2,24.8,20.3
2025-01-01,Data Center A,Server,SRV13,124.57,82.7,21.7,21.7
2025-01-01,Data Center A,Server,SRV14,137.52,73.2,66.1,25.7
2025-01-01,Data Center A,Server,SRV15,149.43,81.5,30.6,24.8
2025-01-01,Data Center A,Server,SRV16,161.44,81.5,86.3,21.4
2025-01-01,Data Center A,Storage,ST1,87.46,81.7,17.2,24.9
2025-01-01,Data Center A,Storage,ST2,124.99,89.3,65.4,25.4
2025-01-01,Data Center A,Storage,ST3,93.58,75.2,37.7,26.3
2025-01-01,Data Center A,Storage,ST4,100.33,84.1,18.0,29.7
2025-01-01,Data Center A,Storage,ST5,66.97,76.1,92.7,26.6
2025-01-01,Data Center A,Storage,ST6,81.26,80.1,59.0,28.4
2025-01-01,Data Center A,Cooling,C1,171.02,64.8,33.9,24.1
2025-01-01,Data Center A,Cooling,C2,212.28,63.9,11.3,26.1
2025-01-01,Data Center A,Cooling,C3,212.71,68.7,91.9,22.6
2025-01-01,Data Center A,Cooling,C4,242.01,62.8,24.4,26.6
2025-01-01,Data Center B,Router,R1,103.82,78.5,58.5,24.7
2025-01-01,Data Center B,Router,R2,82.44,78.3,84.6,20.6
2025-01-01,Data Center B,Router,R3,106.1,83.3,40.6,26.7
2025-01-01,Data Center B,Router,R4,85.32,80.6,77.9,35.6
2025-01-01,Data Center B,Router,R5,112.55,82.9,85.7,20.5
2025-01-01,Data Center B,Router,R6,72.7,75.6,49.6,24.2
